,Variables count,Variables count,Variables count,Variables count,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Variable types,Variable types
,Nb total variables,Total number subjects,ID variables,Phenotypes variables,nb var > 10% non-null values,nb var > 25% non-null values,nb var > 50% non-null values,nb var > 75% non-null values,nb var > 90% non-null values,Mean non-null value count per variable,Median non-null value count per variable,float64,object
35,21,320042,3,18,5,5,5,5,5,90846.9,4225.0,13,5
