,Variables count,Variables count,Variables count,Variables count,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Variable types,Variable types,Variable types
,Nb total variables,Total number subjects,ID variables,Phenotypes variables,nb var > 10% non-null values,nb var > 25% non-null values,nb var > 50% non-null values,nb var > 75% non-null values,nb var > 90% non-null values,Mean non-null value count per variable,Median non-null value count per variable,float64,object,int64
Framingham Cohort,5561,18267,746,4815,1535,321,246,246,246,2060.440083073728,615.0,3270,1544,1
