,Variables count,Variables count,Variables count,Variables count,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Variable types,Variable types,Variable types
,Nb total variables,Total number subjects,ID variables,Phenotypes variables,nb var > 10% non-null values,nb var > 25% non-null values,nb var > 50% non-null values,nb var > 75% non-null values,nb var > 90% non-null values,Mean non-null value count per variable,Median non-null value count per variable,object,float64,int64
Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study,29,4462,14,15,14,14,13,10,8,3523.133333333333,4458.0,9,5,1
