,Variables count,Variables count,Variables count,Variables count,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Number variables with non-null values,Variable types,Variable types,Variable types
,Nb total variables,Total number subjects,ID variables,Phenotypes variables,nb var > 10% non-null values,nb var > 25% non-null values,nb var > 50% non-null values,nb var > 75% non-null values,nb var > 90% non-null values,Mean non-null value count per variable,Median non-null value count per variable,object,float64,int64
"NHLBI TOPMed: Study of African Americans, Asthma, Genes and Environment (SAGE) Study",30,2106,14,16,16,14,14,11,9,1673.625,2104.0,10,5,1
